SECONDS,decode_completed
268.38805770874023,104805.0
268.38805770874023,104806.0
268.38805770874023,104813.0
268.38805770874023,104818.0
268.38805770874023,104829.0
268.38805770874023,104821.0
268.38805770874023,104830.0
268.4522075653076,104858.0
268.4522075653076,104853.0
268.4522075653076,104859.0
268.4522075653076,104839.0
268.4522075653076,104854.0
268.4522075653076,104860.0
268.4522075653076,104845.0
268.4522075653076,104857.0
268.4522075653076,104856.0
268.4522075653076,104843.0
268.4522075653076,104852.0
268.4522075653076,104844.0
268.4522075653076,104851.0
268.4522075653076,104848.0
268.4522075653076,104846.0
268.4522075653076,104835.0
268.4522075653076,104836.0
268.4522075653076,104849.0
268.4522075653076,104850.0
268.4522075653076,104833.0
268.4522075653076,104847.0
268.4522075653076,104834.0
268.4522075653076,104837.0
268.4522075653076,104838.0
268.4522075653076,104855.0
268.4522075653076,104840.0
268.4522075653076,104841.0
268.4522075653076,104842.0
268.5095191001892,104878.0
268.5095191001892,104880.0
